Nb2O5,P2O5,TiO2,CaO,K2O,BaO,Na2O,SiO2,ZnO,Li2O,SrO,ZrO2,WO3,MgO,B2O3,Al2O3,V2O5,Bi2O3,Ta2O5,Fe2O3,Sb2O3,GeO2,Cs2O,TeO2,La2O3,Y2O3,CeO2,Pn[for nd],nd,n632.8 nm,n531.9 nm,(nd− 1)/dRT,α120-300× 107,Predicted refractive Index,RI,IDS
46.09,23.93,4.49,7.19,0.11,3.05,14.47,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0175,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
43.76,23.49,7.75,4.99,0.11,5.26,14.02,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0173,0.0,0.0,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
46.45,24.04,4.32,4.84,3.7,2.93,10.85,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
41.52,23.06,10.89,2.88,0.0922,7.4,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.017,0.0,0.0,0.0393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
44.23,23.62,7.45,2.75,3.64,5.06,10.48,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
46.5,24.13,4.41,2.8,6.54,2.99,7.96,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
38.65,22.54,14.85,0.21,0.0906,10.09,13.06,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0167,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
41.52,23.13,11.18,0.16,3.79,7.59,9.82,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
43.86,23.65,8.12,0.0953,6.86,5.52,7.13,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-1.csv
46.39,24.22,4.82,0.0324,10.18,3.27,4.19,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-1.csv
